Chamber,LastName,Name,Session,Year,Age
H,Brown,Sherrod,108,1952,51
H,Brownback,Sam,108,1956,47
H,Calvert,Ken,108,1953,50
H,Gerlach,Jim,108,1955,48
H,Gingrey,Phil,108,1942,61
H,Holden,Thomas,108,1957,46
H,Kucinich,Dennis,108,1946,57
H,Serrano,Jose,108,1943,60
H,Sanchez,Linda,108,1969,34
H,Waxman,Henry,108,1939,64
H,Alexander,Rodney,109,1946,59
H,Allen,George,109,1952,53
H,Capps,Lois,109,1938,67
H,Castle,Michael,109,1939,66
H,McDermott,James,109,1936,69
H,McKinney,Cynthia,109,1955,50
H,Moran,Jerry,109,1954,51
H,Nussle,James,109,1960,45
H,Regula,Ralph,109,1924,81
H,Reichert,David,109,1950,55
H,Abercrombie,Neil,110,1938,69
H,Blumenauer,Earl,110,1948,59
H,Campbell,John,110,1955,52
H,Garrett,Scott,110,1959,48
H,Harman,Jane,110,1945,62
H,Hoyer,Steny,110,1939,68
H,Jones,Stephanie,110,1949,58
H,McMorris Rodgers,Cathy,110,1969,38
H,Murtha,John,110,1932,75
H,Weiner,Anthony,110,1964,43
H,Braley,Bruce,111,1957,52
H,Capuano,Michael,111,1952,57
H,Hensarling,Jeb,111,1957,52
H,Issa,Darrell,111,1953,56
H,Jones,Walter,111,1943,66
H,Latourette,Steven,111,1954,55
H,Luetkemeyer,Blaine,111,1952,57
H,McGovern,James,111,1959,50
H,Pallone,Frank,111,1951,58
H,Turner,Michael,111,1960,49
H,Broun,Paul,112,1946,65
H,Dreier,David,112,1952,59
H,Fudge,Marcia,112,1952,59
H,Guthrie,Brett,112,1964,47
H,Hastings,Alcee,112,1936,75
H,Inslee,Jay,112,1951,60
H,McMorris Rodgers,Cathy,112,1969,42
H,Ryan,Paul,112,1970,41
H,Stearns,Clifford,112,1941,70
H,Tipton,Scott,112,1956,55
H,Capuano,Michael,113,1952,61
H,Cotton,Tom,113,1977,36
H,Delauro,Rosa,113,1943,70
H,Dent,Charles,113,1960,53
H,Franks,Trent,113,1957,56
H,Issa,Darrell,113,1953,60
H,Lamalfa,Doug,113,1960,53
H,Lobiondo,Frank,113,1946,67
H,Long,Billy,113,1955,58
H,Tsongas,Nicola,113,1946,67
H,Boustany,Charles,114,1956,59
H,Gillibrand,Kirsten,114,1966,49
H,Green,Al,114,1947,68
H,Hirono,Mazie,114,1947,68
H,Kirk,Mark,114,1959,56
H,Larson,John,114,1948,67
H,Rokita,Todd,114,1970,45
H,Slaughter,Louise,114,1929,86
H,Stefanik,Elise,114,1984,31
H,Yoder,Kevin,114,1976,39
H,Bishop,Michael,115,1967,50
H,Brooks,Mo,115,1954,63
H,Clay,William,115,1956,61
H,Dunn,Neal,115,1953,64
H,Franks,Trent,115,1957,60
H,Hice,Jody,115,1960,57
H,Kinzinger,Adam,115,1978,39
H,Mullin,Markwayne,115,1977,40
H,Reed,John,115,1949,68
H,Rouzer,David,115,1972,45
H,Bustos,Cheri,116,1961,58
H,Chu,Judy,116,1953,66
H,Evans,Dwight,116,1954,65
H,Green,Mark,116,1964,55
H,McKinley,David,116,1947,72
H,Murphy,Gregory,116,1963,56
H,Palazzo,Steven,116,1970,49
H,Scott,Austin,116,1969,50
H,Tipton,Scott,116,1956,63
H,Wittman,Robert,116,1959,60
H,Blunt,Roy,117,1950,71
H,Chu,Judy,117,1953,68
H,Evans,Dwight,117,1954,67
H,Latta,Robert,117,1956,65
H,Malinowski,Tom,117,1965,56
H,Markey,Edward,117,1946,75
H,Pfluger,August,117,1977,44
H,Ruppersberger,C. A.,117,1946,75
H,Stauber,Peter,117,1966,55
H,Suozzi,Thomas,117,1962,59
