Chamber,LastName,Name,Session,Year,Age
S,Allen,George,108,1952,51
S,Crapo,Michael,108,1951,52
S,Dewine,Michael,108,1947,56
S,Frist,William,108,1952,51
S,Graham,Daniel,108,1936,67
S,Jeffords,James,108,1934,69
S,Kohl,Herbert,108,1935,68
S,Moran,Jerry,108,1954,49
S,Nickles,Donald,108,1948,55
S,Thomas,Craig,108,1933,70
S,Clinton,Hillary,109,1947,58
S,Dorgan,Byron,109,1942,63
S,Flake,Jeff,109,1962,43
S,Inouye,Daniel,109,1924,81
S,Salazar,Kenneth,109,1955,50
S,Sanders,Bernard,109,1941,64
S,Sarbanes,Paul,109,1933,72
S,Sessions,Jefferson,109,1946,59
S,Smith,Gordon,109,1952,53
S,Van Hollen,Christopher,109,1959,46
S,Bond,Christopher,110,1939,68
S,Coburn,Thomas,110,1948,59
S,Conrad,Kent,110,1948,59
S,Hagel,Charles,110,1946,61
S,Isakson,Johnny,110,1944,63
S,Lott,Chester,110,1941,66
S,Murkowski,Lisa,110,1957,50
S,Murphy,Christopher,110,1973,34
S,Nelson,Clarence,110,1942,65
S,Udall,Thomas,110,1948,59
S,Blackburn,Marsha,111,1952,57
S,Bond,Christopher,111,1939,70
S,Cantwell,Maria,111,1958,51
S,Cassidy,Bill,111,1957,52
S,Conrad,Kent,111,1948,61
S,Johanns,Mike,111,1950,59
S,Lugar,Richard,111,1932,77
S,Murkowski,Lisa,111,1957,52
S,Udall,Thomas,111,1948,61
S,Webb,James,111,1946,63
S,Cassidy,Bill,112,1957,54
S,Coburn,Thomas,112,1948,63
S,Cochran,William,112,1937,74
S,Durbin,Richard,112,1944,67
S,Grassley,Charles,112,1933,78
S,Lautenberg,Frank,112,1924,87
S,Murkowski,Lisa,112,1957,54
S,Murray,Patty,112,1950,61
S,Scott,Tim,112,1965,46
S,Whitehouse,Sheldon,112,1955,56
S,Boxer,Barbara,113,1940,73
S,Chiesa,Jeffrey,113,1965,48
S,Enzi,Michael,113,1944,69
S,Grassley,Charles,113,1933,80
S,Markey,Edward,113,1946,67
S,Menendez,Robert,113,1954,59
S,Sanders,Bernard,113,1941,72
S,Stabenow,Deborah,113,1950,63
S,Thune,John,113,1961,52
S,Warren,Elizabeth,113,1949,64
S,Capito,Shelley,114,1953,62
S,Coats,Daniel,114,1943,72
S,Daines,Steve,114,1962,53
S,Donnelly,Joe,114,1955,60
S,Graham,Lindsey,114,1955,60
S,Isakson,Johnny,114,1944,71
S,Johnson,Ron,114,1955,60
S,Markey,Edward,114,1946,69
S,Stabenow,Deborah,114,1950,65
S,Van Hollen,Christopher,114,1959,56
S,Booker,Cory,115,1969,48
S,Brown,Sherrod,115,1952,65
S,Cortez Masto,Catherine,115,1964,53
S,Heinrich,Martin,115,1971,46
S,Hyde-Smith,Cindy,115,1959,58
S,Isakson,Johnny,115,1944,73
S,Lankford,James,115,1968,49
S,Marshall,Roger,115,1960,57
S,McSally,Martha,115,1966,51
S,Whitehouse,Sheldon,115,1955,62
S,Daines,Steve,116,1962,57
S,Durbin,Richard,116,1944,75
S,Hirono,Mazie,116,1947,72
S,Inhofe,James,116,1934,85
S,Manchin,Joe,116,1947,72
S,McConnell,Addison,116,1942,77
S,Rounds,Marion,116,1954,65
S,Schatz,Brian,116,1972,47
S,Thune,John,116,1961,58
S,Udall,Thomas,116,1948,71
S,Burr,Richard,117,1955,66
S,Cramer,Kevin,117,1961,60
S,Durbin,Richard,117,1944,77
S,King,Angus,117,1944,77
S,Leahy,Patrick,117,1940,81
S,Moran,Jerry,117,1954,67
S,Sanders,Bernard,117,1941,80
S,Smith,Tina,117,1958,63
S,Sullivan,Daniel,117,1964,57
S,Wyden,Ronald,117,1949,72
